lead_time,no_of_special_requests,avg_price_per_room,arrival_date,no_of_week_nights,arrival_month,market_segment_type,no_of_weekend_nights,arrival_year,no_of_adults,booking_status
4.060443010546419,1.0986122886681098,4.763028270603671,28,0.6931471805599453,10,4,0.0,2018,2,Not_Canceled
2.70805020110221,0.0,4.61512051684126,15,1.0986122886681098,10,3,0.0,2017,1,Not_Canceled
5.365976015021851,0.0,4.875197323201151,7,1.3862943611198906,6,4,0.0,2018,2,Canceled
4.624972813284271,0.6931471805599453,4.906015244966153,20,0.6931471805599453,8,4,0.6931471805599453,2018,2,Not_Canceled
5.402677381872279,0.0,4.189654742026425,17,0.6931471805599453,10,3,1.0986122886681098,2017,2,Not_Canceled
4.04305126783455,0.0,5.225746673713202,25,1.0986122886681098,9,3,1.0986122886681098,2017,1,Not_Canceled
5.093750200806762,0.0,4.2626798770413155,17,1.3862943611198906,9,3,0.0,2017,2,Not_Canceled
4.663439094112067,0.0,4.330733340286331,6,0.6931471805599453,4,3,0.0,2018,2,Canceled
4.553876891600541,0.6931471805599453,4.787491742782046,23,1.0986122886681098,12,4,1.0986122886681098,2018,3,Not_Canceled
1.6094379124341003,0.0,5.093750200806762,2,1.3862943611198906,9,4,1.0986122886681098,2018,2,Not_Canceled
1.6094379124341003,0.0,4.589142424910894,2,0.6931471805599453,8,4,0.0,2018,2,Not_Canceled
4.890349128221754,0.6931471805599453,4.68213122712422,6,1.0986122886681098,4,4,0.0,2018,2,Canceled
0.6931471805599453,0.0,4.110873864173311,28,0.6931471805599453,2,3,1.0986122886681098,2018,1,Canceled
2.70805020110221,0.0,5.236441962829949,3,0.6931471805599453,7,4,1.0986122886681098,2018,2,Canceled
4.919980925828125,0.0,4.642947550322122,28,1.3862943611198906,4,4,1.0986122886681098,2018,2,Not_Canceled
4.477336814478207,1.0986122886681098,4.785823685681349,6,1.3862943611198906,10,4,0.0,2018,2,Not_Canceled
5.062595033026967,0.6931471805599453,4.293878247897177,7,1.3862943611198906,7,3,0.6931471805599453,2018,2,Not_Canceled
3.6888794541139363,0.6931471805599453,4.417635062141249,10,1.3862943611198906,3,4,1.0986122886681098,2018,2,Canceled
3.4657359027997265,0.6931471805599453,4.596129441335942,26,1.0986122886681098,6,4,1.0986122886681098,2018,2,Not_Canceled
5.049856007249537,0.6931471805599453,4.793390974713035,1,2.302585092994046,8,4,1.3862943611198906,2018,2,Canceled
2.4849066497880004,0.6931471805599453,4.241326752570746,22,0.6931471805599453,1,4,0.0,2018,2,Not_Canceled
3.7612001156935624,0.0,4.290459441148391,15,0.6931471805599453,8,3,0.6931471805599453,2018,1,Canceled
2.302585092994046,1.0986122886681098,4.997212273764115,25,0.6931471805599453,5,4,0.0,2018,3,Not_Canceled
4.709530201312334,0.0,4.546481189639412,9,0.6931471805599453,4,4,1.0986122886681098,2018,2,Not_Canceled
3.912023005428146,0.0,5.01926462079431,3,1.0986122886681098,6,4,0.6931471805599453,2018,3,Canceled
5.2832037287379885,0.0,4.812021740525323,3,1.9459101490553132,9,4,1.0986122886681098,2018,2,Canceled
4.248495242049359,0.0,4.344843843546165,7,1.0986122886681098,7,3,0.0,2017,2,Not_Canceled
4.564348191467836,1.0986122886681098,4.520701029361642,31,0.0,10,4,0.6931471805599453,2018,2,Not_Canceled
5.5053315359323625,0.0,4.709530201312334,6,1.6094379124341003,7,3,1.0986122886681098,2018,1,Canceled
2.6390573296152584,0.0,4.499809670330265,14,0.6931471805599453,6,4,0.0,2018,2,Not_Canceled
3.5553480614894135,1.0986122886681098,4.644871552839644,11,0.0,10,4,1.0986122886681098,2017,2,Not_Canceled
3.8918202981106265,0.6931471805599453,4.951592753462473,10,1.791759469228055,5,4,0.0,2018,2,Not_Canceled
5.720311776607412,0.0,4.499809670330265,3,1.3862943611198906,11,3,0.0,2018,2,Canceled
5.075173815233827,0.0,5.297817241506355,26,1.3862943611198906,5,4,0.0,2018,2,Canceled
4.127134385045092,0.0,4.5217885770490405,4,0.0,10,3,1.0986122886681098,2017,2,Not_Canceled
4.77912349311153,0.6931471805599453,4.5976419195673,16,1.0986122886681098,10,4,0.6931471805599453,2017,2,Not_Canceled
3.6375861597263857,0.0,4.564348191467836,13,1.3862943611198906,10,3,0.0,2018,1,Not_Canceled
3.2188758248682006,0.0,3.858622228701031,27,1.3862943611198906,11,3,1.0986122886681098,2017,2,Not_Canceled
2.4849066497880004,0.6931471805599453,5.017279836814924,5,0.6931471805599453,11,4,0.0,2018,2,Canceled
4.61512051684126,0.0,4.6913478822291435,16,0.6931471805599453,10,4,0.0,2017,2,Canceled
3.7612001156935624,0.6931471805599453,5.152713392689245,23,0.6931471805599453,6,4,0.0,2018,2,Canceled
5.147494476813453,0.0,4.350277936359301,20,1.791759469228055,8,4,1.0986122886681098,2017,2,Canceled
3.6888794541139363,0.0,4.629862798578463,14,1.0986122886681098,8,3,0.0,2017,2,Not_Canceled
1.0986122886681098,0.0,4.189654742026425,29,0.6931471805599453,7,2,0.0,2017,1,Not_Canceled
